"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030198","extracellular matrix organization","35/288","339/18986",0.103244837758112,6.80627253359554,13.3874156466021,2.68863425158413e-19,3.79709071745264e-16,3.1124068611901e-16,"MMP1/COL4A1/MMP3/PDPN/COL8A1/FAP/ADAMTS12/COL1A1/SULF1/LOXL2/COL5A2/COL11A1/TGFBI/COL12A1/ADAMTS2/SERPINH1/OLFML2B/COL1A2/FKBP10/ADAMTS4/COL5A1/MMP14/MMP11/COL4A2/COL3A1/IL6/MMP7/ITGA2/COL18A1/COL10A1/COL15A1/COMP/FSCN1/SERPINB5/MMP9",35
"BP","GO:0043062","extracellular structure organization","35/288","340/18986",0.102941176470588,6.78625408496732,13.3612806358785,2.95778826163469e-19,3.79709071745264e-16,3.1124068611901e-16,"MMP1/COL4A1/MMP3/PDPN/COL8A1/FAP/ADAMTS12/COL1A1/SULF1/LOXL2/COL5A2/COL11A1/TGFBI/COL12A1/ADAMTS2/SERPINH1/OLFML2B/COL1A2/FKBP10/ADAMTS4/COL5A1/MMP14/MMP11/COL4A2/COL3A1/IL6/MMP7/ITGA2/COL18A1/COL10A1/COL15A1/COMP/FSCN1/SERPINB5/MMP9",35
"BP","GO:0045229","external encapsulating structure organization","35/288","341/18986",0.102639296187683,6.76635304659498,13.3352508983823,3.25279044898855e-19,3.79709071745264e-16,3.1124068611901e-16,"MMP1/COL4A1/MMP3/PDPN/COL8A1/FAP/ADAMTS12/COL1A1/SULF1/LOXL2/COL5A2/COL11A1/TGFBI/COL12A1/ADAMTS2/SERPINH1/OLFML2B/COL1A2/FKBP10/ADAMTS4/COL5A1/MMP14/MMP11/COL4A2/COL3A1/IL6/MMP7/ITGA2/COL18A1/COL10A1/COL15A1/COMP/FSCN1/SERPINB5/MMP9",35
"BP","GO:0030199","collagen fibril organization","15/288","72/18986",0.208333333333333,13.7340856481481,13.4352666194489,1.91554251293891e-13,1.67705747007801e-10,1.37465379810116e-10,"ADAMTS12/COL1A1/LOXL2/COL5A2/COL11A1/COL12A1/ADAMTS2/SERPINH1/COL1A2/FKBP10/COL5A1/MMP11/COL3A1/COL18A1/COMP",15
"BP","GO:0032963","collagen metabolic process","16/288","111/18986",0.144144144144144,9.5025025025025,11.149842804967,1.160793601168e-11,8.1301983825807e-09,6.66417715870558e-09,"MMP1/INHBA/MMP3/FAP/COL1A1/ADAMTS2/SERPINH1/COL1A2/COL5A1/MMP14/MMP11/IL6/MMP7/ITGA2/KLK6/MMP9",16
"BP","GO:0002009","morphogenesis of an epithelium","30/288","500/18986",0.06,3.95541666666667,8.31163020853592,1.54943340277183e-10,9.04352629417824e-08,7.41281559536628e-08,"WNT2/MTHFD1L/COL4A1/CTHRC1/PDPN/ADAMTS12/SULF1/MET/AJUBA/PDX1/COL5A1/SNAI1/MMP14/EDNRA/SHH/JAG2/MYC/FOXQ1/TNC/IGFBP5/CA9/TACSTD2/SAPCD2/KRT17/CXCL10/MSX2/ITGA5/AREG/LGR5/SERPINB5",30
"BP","GO:0035987","endodermal cell differentiation","11/288","52/18986",0.211538461538462,13.9453792735043,11.6011016257179,2.81357645867477e-10,1.40759210832558e-07,1.15377789515881e-07,"INHBA/COL8A1/COL5A2/COL11A1/COL12A1/COL5A1/MMP14/COL4A2/ITGA5/FN1/MMP9",11
"BP","GO:0001706","endoderm formation","11/288","61/18986",0.180327868852459,11.887864298725,10.5704539777093,1.72556926581263e-09,7.5536794610948e-07,6.19161498404086e-07,"INHBA/COL8A1/COL5A2/COL11A1/COL12A1/COL5A1/MMP14/COL4A2/ITGA5/FN1/MMP9",11
"BP","GO:0022617","extracellular matrix disassembly","11/288","65/18986",0.169230769230769,11.1563034188034,10.179448962847,3.50085168906441e-09,1.36222029056706e-06,1.11658743345949e-06,"MMP1/MMP3/PDPN/FAP/ADAMTS4/MMP14/MMP11/IL6/MMP7/FSCN1/MMP9",11
"BP","GO:0043588","skin development","22/288","324/18986",0.0679012345679012,4.47629458161866,7.83274433115787,5.20228726518403e-09,1.82184100026745e-06,1.49333024970072e-06,"ETV4/CLDN1/INHBA/COL1A1/CDH3/COL5A2/MET/ADAMTS2/COL1A2/COL5A1/SNAI1/KRT80/SHH/COL3A1/FOXQ1/ITGA2/IGFBP5/COMP/KRT17/MSX2/EREG/LGR5",22
"BP","GO:0030593","neutrophil chemotaxis","12/288","85/18986",0.141176470588235,9.30686274509804,9.52594508001961,5.79788436434158e-09,1.84583554944766e-06,1.51299814943153e-06,"IL1B/CXCL2/DPEP1/TNFAIP6/TREM1/S100A8/CXCL3/S100A9/CXCL5/CXCL10/CXCL1/CXCL11",12
